match_id,win,is_dire,patch,game_mode,lobby_type,duration,obs_placed,sen_placed,camps_stacked,hero_id,level,item_0,item_1,item_2,item_3,item_4,item_5,kda,last_hits_per_min,denies,ka_per_min,kills_per_min,deaths_per_min,gold_per_min,xp_per_min,pct_team_gpm,pct_team_xpm
4133996650,1,1,38,22,7,3060,None,None,None,5,21,254,214,206,256,42,46,2,1.588235294117647,1,0.47058823529411764,0.19607843137254902,336,380,0.17151607963246554,0.14542671259089168
4132155603,1,0,38,22,7,1915,None,None,None,27,13,180,244,218,46,0,0,0,0.4073107049608355,0,0.18798955613577023,0.18798955613577023,173,258,0.1371927042030135,0.16570327552986513
4128618002,1,0,38,22,7,2343,None,None,None,87,17,0,46,16,180,254,0,2,0.793854033290653,2,0.38412291933418696,0.12804097311139565,208,338,0.15182481751824817,0.18851087562744004
4125535582,1,0,38,22,7,3424,None,None,None,5,25,96,214,254,102,218,46,2,1.086448598130841,0,0.4731308411214953,0.15771028037383178,399,526,0.26129666011787817,0.2544750846637639
4122285995,1,1,38,22,7,2631,None,None,None,49,23,116,112,63,46,0,166,2,5.427594070695553,2,0.31927023945267957,0.11402508551881413,413,555,0.23627002288329518,0.23819742489270387
4120350243,0,0,38,22,7,2890,None,None,None,71,23,267,63,46,42,162,0,2,0.6020761245674741,0,0.7058823529411765,0.2906574394463668,291,474,0.17218934911242603,0.20816864295125165
4119631706,1,1,38,22,7,2820,None,None,None,84,19,180,102,188,90,218,0,2,0.46808510638297873,0,0.3191489361702128,0.10638297872340426,246,331,0.14496169711255155,0.1453028972783143
4118397929,1,0,38,22,7,3164,None,None,None,98,25,127,125,235,46,180,0,2,3.3944374209860935,0,0.5309734513274336,0.1706700379266751,417,637,0.25661538461538463,0.27901883486640383
4118285827,0,0,38,22,7,2537,None,None,None,5,22,256,214,218,102,46,9,1,1.064249113125739,0,0.4493496255419787,0.21284982262514782,363,507,0.1926751592356688,0.22207621550591328
4116569255,0,0,38,22,7,3439,None,None,None,29,23,1,127,231,131,0,46,3,1.552776970049433,2,0.40127944169816804,0.10468159348647862,288,398,0.15327301756253325,0.18791312559017942
4114986314,1,1,38,22,7,2637,None,None,None,36,23,127,96,63,79,77,46,1,3.0489192263936293,6,0.477815699658703,0.22753128555176336,375,520,0.19736842105263158,0.18413597733711048
4113364583,1,1,38,22,7,3526,None,None,None,51,25,214,127,267,36,242,210,2,2.433352240499149,20,0.5104934770277936,0.18718094157685763,353,475,0.17160913952357804,0.1737381126554499
4106021764,1,1,38,22,7,3451,None,None,None,20,25,218,187,263,267,214,46,3,0.9040857722399305,3,0.6780643291799479,0.15647638365691105,326,543,0.13761080624736174,0.1876295784381479
4104081250,1,1,38,22,7,3470,0,0,0,63,25,236,123,46,63,168,149,5,3.5273775216138326,3,0.6916426512968299,0.12103746397694524,382,747,0.17076441662941438,0.2404248471194078
4102565829,1,1,38,22,7,2458,None,None,None,20,17,214,0,0,188,16,102,2,0.6590724165988608,1,0.31733116354759966,0.12205044751830756,196,322,0.1101123595505618,0.14576731552738795
4100672776,1,1,38,22,7,2167,None,None,None,5,15,0,214,46,42,254,0,1,0.35994462390401477,0,0.35994462390401477,0.24919243193354867,192,284,0.12276214833759591,0.1462409886714727
4099104923,1,1,38,22,0,1559,None,None,None,38,12,106,0,182,50,0,46,0,0.9621552277100707,3,0.23091725465041693,0.3463758819756254,230,281,0.17557251908396945,0.1726044226044226
4098705664,1,0,38,22,0,2376,None,None,None,85,15,31,79,182,42,180,0,0,0.8080808080808081,2,0.3787878787878788,0.3787878787878788,204,271,0.14945054945054945,0.1449197860962567
4098497823,0,0,38,22,0,2506,0,0,0,42,25,63,252,208,9,151,46,11,2.5857940941739823,2,0.7901037509976058,0.047885075818036714,441,685,0.24887133182844243,0.28745279060008394
4097513504,0,1,38,22,0,2508,None,None,None,5,20,254,214,46,42,102,1,2,0.8133971291866029,0,0.5741626794258373,0.215311004784689,362,415,0.15884159719175076,0.14364832121841467
4097411100,0,1,38,22,0,3009,17,5,1,30,23,218,48,254,102,40,187,3,0.9172482552342971,0,0.4985044865403789,0.13958125623130607,354,459,0.15,0.15976331360946747
4093530465,1,0,38,22,0,2829,None,None,None,63,21,63,116,166,240,212,51,2,2.7571580063626726,1,0.5090137857900319,0.16967126193001061,346,405,0.2285336856010568,0.23684210526315788
4085460250,0,0,38,22,0,2630,None,None,None,25,24,50,135,41,166,100,0,1,3.650190114068441,0,0.3193916349809886,0.2509505703422053,427,569,0.23219140837411636,0.23158323158323157
4083229935,0,0,38,22,0,3905,0,0,0,98,25,46,210,242,116,180,127,2,3.4571062740076828,6,0.3072983354673496,0.10755441741357236,399,525,0.2176759410801964,0.23863636363636365
3633692314,1,1,26,22,7,2143,None,None,None,26,13,214,46,16,43,188,0,0,0.2799813345776948,2,0.16798880074661687,0.33597760149323375,133,214,0.09035326086956522,0.11048012390294269
3633157269,1,1,26,22,7,2994,None,None,None,20,23,214,102,90,36,46,42,3,0.8216432865731463,1,0.62124248496994,0.18036072144288579,256,483,0.13001523616048755,0.15862068965517243
3631590120,0,1,26,22,7,3134,0,0,1,99,25,242,127,63,210,36,46,2,2.6228462029355457,2,0.5169112954690491,0.21059349074664965,338,540,0.14340263046245227,0.18305084745762712
3631420167,0,1,26,22,7,1723,None,None,None,71,15,180,40,92,9,36,127,6,1.0795124782356356,0,0.8705745792222868,0.10446894950667442,300,383,0.14231499051233396,0.15487262434290336
